dataset,model_dim,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,64,7,2,2,4,B0007,0.0018178695010849172,0.0007494795485399663,0.010840948957084233,0.027161128918475323,53,0.35498618426388256
NASA,64,7,2,2,4,B0018,0.004208447120618075,0.0029234563698992133,0.019324604364283657,0.053722549938785155,25,0.4312568664550781
NASA,64,2,4,4,4,B0005,0.06334395249458877,0.07521731918677688,0.07782616234194199,0.27315128963839375,12,0.8909191861748695
NASA,64,2,4,4,4,B0006,0.06732624633745714,0.06459752563387156,0.08749578984170865,0.2526499048917424,3,0.8834112416143003
NASA,64,2,4,4,4,B0007,0.0640257058872117,0.06902457121759653,0.09920828606402668,0.2608454351636376,31,0.7771611774668974
NASA,64,2,4,4,4,B0018,0.06773627921938896,0.06658258413275082,0.061804977159440576,0.25729477380344906,15,0.969504942212786
NASA,64,7,4,3,4,B0005,0.06733496961268512,0.07521097641438246,0.07895175650981315,0.27310737453287626,12,0.7951907441020012
NASA,64,7,4,3,4,B0006,0.06440030275420709,0.051380020566284657,0.07134509932493391,0.2255460227674489,24,0.7731958844444968
NASA,64,7,4,3,4,B0007,0.004370821976206369,0.0010206319042481483,0.012011553206650205,0.03172072135722654,64,0.716036646139054
NASA,64,7,4,3,4,B0018,0.07464156144609053,0.06700122201194365,0.09041415081757657,0.2572620233439463,3,0.8598263782003651
NASA,64,3,3,3,1,B0005,0.00237032764760608,0.0017615978358662687,0.022263219937062585,0.04137671665439644,47,0.625192265012371
NASA,64,3,3,3,1,B0006,0.06601302969184789,0.06448964821174741,0.08918227524253561,0.25237729686877386,36,0.6606347007410867
NASA,64,3,3,3,1,B0007,0.0037803908861759636,0.0010823109856573864,0.013791332640962918,0.03260814156199338,96,0.5896339560377186
NASA,64,3,3,3,1,B0018,0.003932422783691436,0.0028852549148723483,0.02557118512417129,0.0531024146952635,42,0.6975781071570611
NASA,64,2,4,3,2,B0005,0.06672805175185204,0.07523572072386742,0.08867562507033841,0.27285414099242933,42,0.7265813466041319
NASA,64,2,4,3,2,B0006,0.06570320068435236,0.06450888126467665,0.08829697368525237,0.2524465195158261,28,0.7166341841220856
NASA,64,2,4,3,2,B0007,0.002883358263514108,0.0007935326648293994,0.01194682432176477,0.0279152287753492,90,0.633879297429865
NASA,64,2,4,3,2,B0018,0.006028473959304392,0.0025945868886386356,0.02124396596024546,0.05049214113153072,40,0.7744871536890666
NASA,64,5,3,4,4,B0005,0.0720776729285717,0.07522161724045873,0.07800406282046636,0.2731540854538699,11,0.9229007382546702
NASA,64,5,3,4,4,B0006,0.06913227418606932,0.06464733369648457,0.0942589468689464,0.2525051652532269,4,0.9192995627721151
NASA,64,5,3,4,4,B0007,0.06613499505652322,0.07146022734232246,0.07676674568509616,0.2662159160112105,7,0.7981052486984818
NASA,64,5,3,4,4,B0018,0.07687326210240523,0.06655353556076686,0.05960402388185726,0.25729025219066454,41,0.9772403201118844
NASA,64,7,3,3,1,B0005,0.003564594276461073,0.002005291411478538,0.011781279462639368,0.04462523442348693,55,0.7213875961303711
NASA,64,7,3,3,1,B0006,0.0031483613420277834,0.0033597302778313556,0.02274149769038321,0.05751532572714446,53,0.7003144172772969
NASA,64,7,3,3,1,B0007,0.06330892029735777,0.07030761600472032,0.0730019050076153,0.26414898700687417,49,0.6085685716159102
NASA,64,7,3,3,1,B0018,0.007111944044784953,0.0033329430734738708,0.019879800617803093,0.057388347587512656,36,0.7263713989939008
NASA,64,7,2,2,8,B0005,0.0014075037113136866,0.0022539862111443654,0.009872606584065914,0.04737340301116813,40,0.42218257188797
NASA,64,7,2,2,8,B0006,0.002685545435683294,0.0032946207793429494,0.022421314052009696,0.05695918914914993,27,0.4134110339144443
NASA,64,7,2,2,8,B0007,0.002544093424350851,0.0007008951506577432,0.014291720439256554,0.026085816350805802,52,0.3686373266908858
NASA,64,7,2,2,8,B0018,0.006396475112220894,0.0029181172527993717,0.034467670140978755,0.05290855528975866,20,0.5226451277732849
NASA,64,2,2,3,4,B0005,0.06534316661682996,0.07515959162265062,0.07794397324468906,0.27304223817973083,29,0.6118460090792909
NASA,64,2,2,3,4,B0006,0.0039993013593960895,0.002844418593061467,0.028967264653383618,0.05254054061531042,37,0.5920803839700264
NASA,64,2,2,3,4,B0007,0.06632519803113407,0.07144308760762215,0.07584516222642086,0.2662101399597961,19,0.519317260155311
NASA,64,2,2,3,4,B0018,0.06496586184948683,0.06042903009802103,0.04788534073499135,0.24535633164311413,12,0.6352177187800407
NASA,64,2,3,3,8,B0005,0.16609440676190637,0.07658681971952319,0.15139291971429772,0.27257079469932854,1,0.6834122680482411
NASA,64,2,3,3,8,B0006,0.06783765418962999,0.039027244628717504,0.10076723880797078,0.19496625886764435,22,0.6911376771472749
NASA,64,2,3,3,8,B0007,0.06269064255886608,0.06087152939289808,0.06520711898145097,0.245858357263452,16,0.6073052684466044
NASA,64,2,3,3,8,B0018,0.06850202940404415,0.06651784976323445,0.05859392782025376,0.25724409703066836,33,0.746489794749134
NASA,64,3,3,4,4,B0005,0.07206938144835559,0.07522241305559874,0.07800354345435387,0.27315555324553953,11,0.9672970156515798
NASA,64,3,3,4,4,B0006,0.06895788318731567,0.06461273366585374,0.0949628278348525,0.252410258345904,4,0.9622489909331003
NASA,64,3,3,4,4,B0007,0.0644682211180528,0.07144690523855388,0.07613729064722312,0.26620897304960384,40,0.8479231794675192
NASA,64,3,3,4,4,B0018,0.004008977848570794,0.0037414392766853175,0.020656359557713035,0.060817520588556745,72,1.0436662409616553
NASA,128,7,4,3,1,B0005,0.08354393866929141,0.0754373325034976,0.08934417833070962,0.2732015630668125,5,0.9689854049682617
NASA,128,7,4,3,1,B0006,0.07237194207581607,0.06472160387784243,0.0995305460781964,0.25244993691016104,16,0.913059241241879
NASA,128,7,4,3,1,B0007,0.06763202903999223,0.07198138115927577,0.10527260033340079,0.26622011227656034,5,0.8253402709960938
NASA,128,7,4,3,1,B0018,0.06786987682183583,0.06677110306918621,0.06729790963944592,0.25752320940971046,8,0.9764072299003601
NASA,128,5,1,2,8,B0005,0.06665080650286241,0.07525574555620551,0.08361099240254062,0.2730506647035272,30,0.36865394592285156
NASA,128,5,1,2,8,B0006,0.06921457905660976,0.06451525803034504,0.08897482724917251,0.25243535179044796,13,0.3695667584737142
NASA,128,5,1,2,8,B0007,0.0597710075477759,0.06133273057639599,0.09255801386831651,0.24591874795468646,43,0.3296299132089766
NASA,128,5,1,2,8,B0018,0.07599388187130292,0.06699237568924825,0.0705860314868195,0.25786457113904054,18,0.39716342875832006
NASA,128,5,4,3,1,B0005,0.08355842700058763,0.07544315559789538,0.08947560697293641,0.2732079206307036,5,0.8987159538269043
NASA,128,5,4,3,1,B0006,0.0723704258826646,0.0647219130769372,0.09954616467071721,0.2524499338358796,16,0.874297751320733
NASA,128,5,4,3,1,B0007,0.06753081828355789,0.07198123689740896,0.10529879335866288,0.26621880792554925,5,0.7808813858032226
NASA,128,5,4,3,1,B0018,0.06795496679842472,0.06679458202173312,0.06745816621065473,0.257564600092978,8,0.9638405101639884
NASA,128,7,1,4,4,B0005,0.07193479043516246,0.07527760649099946,0.08129743554809916,0.27316053617746905,24,0.6799500151114031
NASA,128,7,1,4,4,B0006,0.06912939995527267,0.06534186626474063,0.11338422742519891,0.25309339617176413,3,0.6643988153208857
NASA,128,7,1,4,4,B0007,0.06605055390132798,0.07148123173974455,0.07814300001923385,0.2662153253102729,30,0.5855402088165284
NASA,128,7,1,4,4,B0018,0.07652854950477679,0.06654025707393885,0.057966558453766956,0.2573018531803435,32,0.7173942419198843
NASA,128,5,1,4,4,B0005,0.07192556356841867,0.07527822675183415,0.08129030904726094,0.27316188460493335,24,0.6414317000995983
NASA,128,5,1,4,4,B0006,0.06636584380810912,0.0645963130518794,0.09266948899674053,0.2524629647637229,42,0.6500473753098519
NASA,128,5,1,4,4,B0007,0.06884726012746493,0.07152917892672121,0.08087969814816556,0.26622363523425546,7,0.560607080106382
NASA,128,5,1,4,4,B0018,0.06380652645990874,0.06652986134092014,0.0580178650259961,0.2572804962161293,42,0.7255788195517755
NASA,128,3,1,3,2,B0005,0.0672697282650254,0.07522011501714587,0.07756353773931744,0.27316387910617174,8,0.5201296721185956
NASA,128,3,1,3,2,B0006,0.06959170238538222,0.0645755793278416,0.09122536090486245,0.2524744992236435,5,0.4757398986816406
NASA,128,3,1,3,2,B0007,0.06196828227904108,0.0405487559735775,0.34209769607753315,0.16984014217094565,51,0.4276709019298285
NASA,128,3,1,3,2,B0018,0.07063702338685592,0.06662552772710721,0.0654267860832096,0.2572886776010476,21,0.555014424207734
NASA,128,2,1,3,4,B0005,0.06538311256603761,0.07524951500818133,0.08001056007261817,0.273147112909527,7,0.47576700316535103
NASA,128,2,1,3,4,B0006,0.06726248900998723,0.06450005217144887,0.0876214069895111,0.252452571248148,35,0.46403434493324974
NASA,128,2,1,3,4,B0007,0.0656355329685741,0.07145635122433305,0.07609541957815909,0.26622791428565196,16,0.4448497560289171
NASA,128,2,1,3,4,B0018,0.07132247649133205,0.0665627143656214,0.060348068988017534,0.25729073964787225,17,0.5252947485124743
NASA,128,7,1,3,2,B0005,0.06723451072519476,0.07521827891469002,0.07755486691509306,0.2731607629046764,8,0.5433980737413678
NASA,128,7,1,3,2,B0006,0.06960638002915816,0.06457556054616968,0.09120793157249121,0.25247509188673817,5,0.5198413944244384
NASA,128,7,1,3,2,B0007,0.06365907564759254,0.06935953297652304,0.06707232005575693,0.2625065022185506,50,0.4751241752079555
NASA,128,7,1,3,2,B0018,0.08680154414226611,0.06654998318602641,0.05957737734857653,0.257283962220633,13,0.5727254477414218
NASA,128,3,1,3,4,B0005,0.0653559189628471,0.07525808410719037,0.08010173840516474,0.27316012704519027,7,0.4850481262913457
NASA,128,3,1,3,4,B0006,0.06726222349838777,0.06450007235010465,0.087617918635212,0.25245273141648683,35,0.48836630907925693
NASA,128,3,1,3,4,B0007,0.06563772757848103,0.07145629692822694,0.07609493216327227,0.26622782193275085,16,0.41720373762978447
NASA,128,3,1,3,4,B0018,0.07123670447617769,0.06655456901838382,0.05987443317050122,0.2572859748347179,17,0.5436519674352698
NASA,128,7,2,2,4,B0005,0.06990093060515144,0.07500367471948266,0.08394090468653008,0.2725785498931473,23,0.49542305635851486
NASA,128,7,2,2,4,B0006,0.47124765000560065,0.06506524390230577,0.12157259755131787,0.2521651303847556,1,0.4473266147431873
NASA,128,7,2,2,4,B0007,0.06652310945921475,0.07138171275146306,0.07604535596519602,0.26608912533307333,22,0.39663231940496535
NASA,128,7,2,2,4,B0018,0.06432787313436468,0.0665069343522191,0.05926644460987765,0.2572074675949165,7,0.4721472881458424
NASA,128,2,4,4,4,B0005,0.06450885060158643,0.07521036081016064,0.07721672250235842,0.27315585157621525,19,0.9741849960424961
NASA,128,2,4,4,4,B0006,0.06739589470353993,0.06449970292548339,0.08755093846079845,0.2524543220270649,12,0.9464819133281708
NASA,128,2,4,4,4,B0007,0.07894944192634688,0.07151743401773274,0.08042379675668926,0.2662153924791752,31,0.8261203765869141
NASA,128,2,4,4,4,B0018,0.3247292252878348,0.06913298989335696,0.17097852556023924,0.25731230508537345,1,1.0340487957000732
NASA,128,7,4,3,4,B0005,0.0679261874068867,0.0752525320276618,0.07989431756849945,0.27315603654107057,33,0.8254856703416357
NASA,128,7,4,3,4,B0006,0.06706044044006955,0.06449347749973337,0.08745712112362393,0.25244524674288854,34,0.7983401748869154
NASA,128,7,4,3,4,B0007,0.06549167136351268,0.07149298288859426,0.07668432481915304,0.26627980123102724,7,0.7177079695242422
NASA,128,7,4,3,4,B0018,0.06998487158368032,0.06696455708394448,0.07876768138425994,0.2575735317632911,20,0.8700955271720886
NASA,128,3,3,3,1,B0005,0.06515334783629938,0.07525361282750964,0.08079895699215349,0.2731314052800751,9,0.6454121491004681
NASA,128,3,3,3,1,B0006,0.0816393917934461,0.06452591189493735,0.08849507103871151,0.2524733102044844,4,0.6395549873510996
NASA,128,3,3,3,1,B0007,0.06518196604318088,0.07144629545509815,0.0758181302175668,0.26621693071236735,28,0.5647953351338705
NASA,128,3,3,3,1,B0018,0.06773754224802057,0.06675992626696825,0.060849937420122346,0.2576618976901309,4,0.6880862712860107
NASA,128,2,4,3,2,B0005,0.06794306974519383,0.07525182235985994,0.07981644811135816,0.2731570133579988,33,0.753986268673303
NASA,128,2,4,3,2,B0006,0.06604729795997794,0.06289309573670228,0.08602064190133935,0.24930531748183551,58,0.742881239988865
NASA,128,2,4,3,2,B0007,0.06540592718455526,0.07149830805137754,0.07940556087691224,0.2662100371053782,33,0.648881732292895
NASA,128,2,4,3,2,B0018,0.06790020269302961,0.06665161779771249,0.06757552811699037,0.2572838397499032,5,0.7855574321746827
NASA,128,5,3,4,4,B0005,0.06799620762467384,0.07524564769119024,0.07730861130369389,0.2732178376236684,17,0.9130997013401341
NASA,128,5,3,4,4,B0006,0.07204428416761485,0.06452806123221914,0.08802245284834664,0.2524940895676909,26,0.8838550007861593
NASA,128,5,3,4,4,B0007,0.06444221321079466,0.07147264587692917,0.0775959131079622,0.26621519814410155,48,0.7813245794352364
NASA,128,5,3,4,4,B0018,0.07253574735174577,0.06655803322792053,0.05907976228912748,0.2573110787006334,11,0.9611421861956196
NASA,128,7,3,3,1,B0005,0.06514709713784131,0.0752510717138648,0.08076640973714949,0.27312771585508705,9,0.7150475321144893
NASA,128,7,3,3,1,B0006,0.07893304459073326,0.06451490645607312,0.0867520690750465,0.25251200732149687,4,0.7080382108688354
NASA,128,7,3,3,1,B0007,0.06518610194325447,0.07144605475477875,0.07582115684591396,0.2662163953753402,28,0.6060785303513209
NASA,128,7,3,3,1,B0018,0.06840961907679836,0.06672775683303674,0.06458072302174372,0.2575086165771942,4,0.7374670008818308
NASA,128,7,2,2,8,B0005,0.05826531790874221,0.05479098216164857,0.16179994845913342,0.22841422824887528,43,0.4337207249232701
NASA,128,7,2,2,8,B0006,0.0027594797270880504,0.0040501422093560295,0.021525007602696572,0.06327566487190213,53,0.42028690037662036
NASA,128,7,2,2,8,B0007,0.06399533235364491,0.0696213352959603,0.0747103827478942,0.2627987261899516,11,0.3761666205621535
NASA,128,7,2,2,8,B0018,0.006426718435250223,0.003924543891722958,0.025368227368346652,0.06213042082085208,44,0.4559108689427376
NASA,128,2,2,3,4,B0005,0.06812173534523357,0.07534549292176962,0.08671998287438237,0.27311802490993353,15,0.5254466124943324
NASA,128,2,2,3,4,B0006,0.07892788099971684,0.06700624153017998,0.21609341127410917,0.24967299901912307,2,0.5146431922912598
NASA,128,2,2,3,4,B0007,0.06717830275495847,0.07028060853481292,0.11491595742493417,0.26260243984602216,23,0.44915202606556026
NASA,128,2,2,3,4,B0018,0.06906743533909321,0.06706456219156583,0.09078188511775516,0.2573721573805294,17,0.5609546803139351
NASA,128,2,3,3,8,B0005,0.06552113829688593,0.07519731996580958,0.07725209202005397,0.27313098161250193,9,0.636245267144565
NASA,128,2,3,3,8,B0006,0.06748086180199277,0.06451012675339977,0.08698671363760385,0.252494474400123,5,0.629577693939209
NASA,128,2,3,3,8,B0007,0.06739282069934739,0.0714455543551594,0.07758290927229357,0.2661646890419022,44,0.5423711575567722
NASA,128,2,3,3,8,B0018,0.06492793645884376,0.06689127224187057,0.06722036333527753,0.2577584437573377,4,0.6752001941204071
NASA,128,3,3,4,4,B0005,0.06798417696898634,0.07522296160459518,0.07719001524848373,0.2731796709505714,17,0.82906901514208
NASA,128,3,3,4,4,B0006,0.07203572243452072,0.06452995150660475,0.08805365101133143,0.25249674772734804,26,0.8162521642187367
NASA,128,3,3,4,4,B0007,0.06444039858049816,0.07147115753032267,0.07750068726554535,0.26621518047726966,48,0.71731658893473
NASA,128,3,3,4,4,B0018,0.0719758439809084,0.0668641213948528,0.0590671758392417,0.25790546648411933,11,0.8673968545852169
